No.of days Until Today,No.of days,Target start date to Today,Project Name,Project Category,Ancestors,Project Manager,Phase/Milestone,Area,At Risk?,Schedule Health,Task Name,Status,% Complete,Start Date,End Date,Priority,Owner,On Hold?,Not Applicable?,Duration,Predecessors,Total Float,Critical ?,Baseline Start,Baseline Finish,Variance,Status Comment,Baseline Start Date,Baseline End Date,Comments,Assigned To,Start,Finish,Baseline Start2,Baseline Finish2,Variance2
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,0,Rajat Bothra,,,,Red,Zycus - UniSan S2P Implementation,In Progress,0.44,2026-02-11,2026-10-09,,,,,170d,,0.0,,2026-05-03,2026-05-20,-2d,,,,,,,,2026-02-11,2026-09-29,-8d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,Contract Sign Off,Completed,1.0,2026-02-11,2026-02-11,,,,,1d,,169.0,,,,,,,,,,,,2026-02-11,2026-02-11,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Contract signing between UniSan and Zycus,Completed,1.0,2026-02-11,2026-02-11,,,,,1d,,0.0,1.0,,,,,,,,"UniSan Project Sponsor, Zycus Sales",,,2026-02-11,2026-02-11,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Contract Sign Off,Completed,1.0,2026-02-11,2026-02-11,,,,,0,3,169.0,,,,,,,,,,,,2026-02-11,2026-02-11,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,1,Rajat Bothra,,,,Green,Project Initiation and Data Gathering,Completed,1.0,2026-02-19,2026-03-17,,,,,18d,,146.0,,,,,,,,,,,,2026-02-12,2026-03-18,1d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Project Kick Off,Completed,1.0,2026-02-19,2026-03-10,,,,,13d,,151.0,,,,,,,,,,,,2026-02-12,2026-03-18,6d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Review Contract Scope,Completed,1.0,2026-02-23,2026-02-23,,,,,1d,3FS +7d,158.0000000694,,,,,,,,,Zycus Project Resources Manager,,,2026-02-23,2026-02-23,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Assign Project Team and Internal communication,Completed,1.0,2026-02-23,2026-02-23,,,,,1d,3FS +7d,0.0,1.0,,,,,,,,Zycus Project Resources Manager,,,2026-02-23,2026-02-23,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Zycus Project Team mobilization and Team alignment,Completed,1.0,2026-02-19,2026-02-23,,,,,3d,8FF,0.0,1.0,,,,,,,,Zycus Project Resources Manager,,,2026-02-19,2026-02-23,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,"Setup Project [Server, Email alias, Internal Applications, Central Drive, Internal ticket for STAGING Set Up]",Completed,1.0,2026-02-24,2026-03-05,,,,,7d,9,0.0,1.0,,,,,,,,Zycus Project Team,,,2026-02-24,2026-03-05,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Sales / PreSales / Pilots handover,Completed,1.0,2026-02-24,2026-02-25,,,,,2d,7,158.0000000347,,,,,,,,,"Zycus Project Manager, Zycus Project Team, Zycus Sales",,,2026-02-24,2026-02-25,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Pre-kick off meeting with internal stakeholders,Completed,1.0,2026-02-26,2026-02-26,,,,,1d,11,158.0,,,,,,,,,"Zycus Project Manager, Zycus Project Team, Zycus Sales",,,2026-02-26,2026-02-26,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Finalize kick off meeting schedule,Completed,1.0,2026-02-23,2026-02-23,,,,,1d,,157.0000000694,,,,,,,,,"UniSan Project Manager, UniSan Project Sponsor, Zycus Sales",,,2026-03-02,2026-03-02,5d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Review SOW with UniSan,Completed,1.0,2026-02-24,2026-02-24,,,,,1d,,160.0,,,,,,,,,"UniSan Project Sponsor, Zycus Project Manager",,,2026-02-12,2026-02-12,-8d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Kick off meeting [Introduction Meeting],Completed,1.0,2026-02-24,2026-02-24,,,,,1d,13,157.0000000694,,,,,,,,,"UniSan Core Project Team, UniSan Project Manager, Zycus Consultant, Zycus Product Specialist, Zycus Project Manager, Zycus Project Team",,,2026-03-03,2026-03-05,6d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,"Share Product specific templates [Questionnaire, User Details template, Legacy Data Upload] with UniSan",Completed,1.0,2026-02-25,2026-02-25,,,,,1d,15,157.0000000347,,,,,,,,,"Zycus Product Specialist, Zycus Project Manager",,,2026-03-06,2026-03-06,6d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Setup Value Introduction kick-off call,Completed,1.0,2026-03-09,2026-03-10,,,,,2d,16FS +6d,151.0,,,,,,,,,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager",,,2026-03-17,2026-03-18,6d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Zycus Project Set-Up,Completed,1.0,2026-03-05,2026-03-05,,,,,0,10,154.0,,,,,,,,,,,,2026-03-05,2026-03-05,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Kick-off Meeting,Completed,1.0,2026-02-24,2026-02-24,,,,,0,15,160.0,,,,,,,,,,,,2026-03-05,2026-03-05,6d
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,2,Rajat Bothra,,,,Green,Implementation Questionnaire and Staging Setup,Completed,1.0,2026-03-06,2026-03-17,,,,,8d,,146.0,,,,,,,,,,,,2026-03-06,2026-03-17,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,STAGING Set Up,Completed,1.0,2026-03-06,2026-03-13,,,,,6d,,148.0,,,,,,,,,,,,2026-03-06,2026-03-13,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Company creation on Zycus STAGING environment,Completed,1.0,2026-03-06,2026-03-09,,,,,2d,10,0.0,1.0,,,,,,,,Zycus Product Specialist,,,2026-03-06,2026-03-09,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,NFR (Non-Functional Requirement) Finalization and sign-off,Completed,1.0,2026-03-06,2026-03-06,,,,,1d,10,153.0,,,,,,,,,"UniSan Core Project Team, Zycus Project Team",,,2026-03-06,2026-03-06,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Configure staging setup with base configuration,Completed,1.0,2026-03-10,2026-03-12,,,,,3d,22,0.0,1.0,,,,,,,,Zycus Product Specialist,,,2026-03-10,2026-03-12,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Value Definition Discussion,Completed,1.0,2026-03-10,2026-03-11,,,,,2d,22,147.0000000694,,,,,,,,,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager",,,2026-03-10,2026-03-11,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Value Definition Review and Follow-up,Completed,1.0,2026-03-12,2026-03-13,,,,,2d,25,147.0000000347,,,,,,,,,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager",,,2026-03-12,2026-03-13,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Value Definition Sign-off,Completed,1.0,2026-03-13,2026-03-13,,,,,0,26,147.0000000347,,,,,,,,,"UniSan Project Group, Zycus Product Specialist, Zycus Project Manager",,,2026-03-13,2026-03-13,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,3,Rajat Bothra,,,,Green,Quality Reviews,Completed,1.0,2026-03-13,2026-03-17,,,,,3d,,146.0,,,,,,,,,,,,2026-03-13,2026-03-17,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,Schedule quality toll,Completed,1.0,2026-03-13,2026-03-13,,,,,1d,24,123.0000003125,,,,,,,,,Zycus Product Specialist,,,2026-03-13,2026-03-13,0
#UNPARSEABLE,#UNPARSEABLE,#UNPARSEABLE,,#UNPARSEABLE,4,Rajat Bothra,,,,Green,"Perform quality checks, PSRs as per quality checklist and submit to QC team",Completed,1.0,2026-03-16,2026-03-16,,,,,1d,29,123.0000002778,,,,,,,,,Zycus Product Specialist,,,2026-03-16,2026-03-16,0
